Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1417411980,300,300,300,300,0.01,3,300
1417412040,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412160,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412280,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412340,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412400,300,300,300,300,0.01,3,300
1417412460,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412520,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412580,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412700,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412760,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412820,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412880,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417412940,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417413000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1417413060,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1546897560,4018.02,4018.11,4014.7,4014.87,4.67318887,18768.27491,4016.1601493
1546897620,4014.9,4015.89,4014.9,4015.74,4.22242459,16956.060548,4015.716607
1546897680,4015.74,4015.74,4014.64,4014.64,8.37844843,33644.339692,4015.5811631
1546897740,4014.65,4014.65,4014.64,4014.65,1.84677369,7414.1388084,4014.6439429
1546897800,4014.65,4014.65,4010.96,4012.4,7.34981116,29490.133335,4012.3661265
1546897860,4012.4,4012.4,4010.04,4010.13,4.90960425,19694.778769,4011.4799006
1546897920,4011.38,4012.4,4010.44,4010.72,4.80412468,19272.037632,4011.5606725
1546897980,4010.73,4010.74,4010,4010.74,13.04365796,52313.110686,4010.6165653
1546898040,4010.72,4011,4009.95,4010.75,5.14914669,20650.628292,4010.4952403
1546898100,4010.71,4011.22,4009.67,4010.29,5.68890953,22814.904034,4010.4177987
1546898160,4010.81,4010.81,4009.54,4009.54,1.30707637,5241.1327272,4009.8136938
1546898220,4009.54,4009.54,4007,4007.01,4.54092018,18199.978249,4007.9934302
1546898280,4007,4007.01,4000.24,4003.49,9.45216298,37845.755391,4003.9253948
1546898340,4003.49,4007.29,4003.49,4006.57,11.83828396,47417.5432,4005.4405994
1546898400,4006.56,4006.57,4006.56,4006.56,8.47577211,33958.70007,4006.5612465
1546898460,4006.57,4006.57,4006,4006.01,6.9512216,27849.509219,4006.4194211
1546898520,4006.01,4006.57,4006,4006.01,3.38295374,13553.433078,4006.3903085
1546898580,4006.01,4006.57,4006,4006.01,0.90216366,3614.0831685,4006.0172325
1546898640,4006.01,4006.01,4006,4006.01,1.19212256,4775.6473083,4006.0036347
1546898700,4006.01,4006.01,4005.5,4005.5,2.69969991,10814.241898,4005.7199905
1546898760,4005.51,4006.01,4005.51,4005.99,1.75277819,7021.1835463,4005.7456136
